IPK,Kehadiran,Jam_Belajar,Organisasi,Penghasilan_Ortu,Jenis_Kelamin,Status_Beasiswa,Lulus_Tepat_Waktu
2.85,,5.1,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.44,83.2,3.2,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.37,76.5,1.9,Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.09,76.8,4.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.15,78.3,1.8,Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.67,84.7,3.7,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.83,76.3,3.3,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.35,97.1,6.0,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.01,71.3,4.1,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.0,79.8,3.4,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.59,76.7,4.8,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.47,99.4,6.5,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.47,84.4,4.6,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.69,94.4,3.9,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.11,64.2,0.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.41,85.2,1.7,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.96,92.7,3.3,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.25,83.0,,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.04,94.8,3.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.14,75.8,3.4,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.37,98.9,5.0,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.73,100.0,,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
4.0,77.6,4.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
2.65,76.7,3.4,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.55,99.4,0.5,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.62,100.0,2.3,,Menengah,Laki-laki,Tidak,Tepat Waktu
3.46,75.7,3.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.38,77.0,1.2,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.38,78.6,4.5,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.09,65.9,5.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.7,71.0,5.4,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.13,70.0,2.7,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.8,72.8,5.9,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.54,81.6,3.8,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.03,84.8,3.0,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.73,100.0,2.9,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.96,,2.6,,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.29,93.8,3.2,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.85,79.4,3.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.73,81.4,3.8,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.21,90.1,3.7,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.21,68.5,3.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.87,86.6,5.7,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
,,5.3,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.2,87.9,1.0,,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
2.45,85.5,0.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.47,100.0,5.7,,Menengah,Perempuan,Tidak,Tepat Waktu
2.78,74.3,0.8,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.0,,2.9,Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
,74.5,1.2,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.76,75.3,,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.49,74.4,4.3,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.03,96.3,5.3,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.09,99.0,3.0,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.65,75.2,0.0,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.09,72.0,2.2,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.97,87.7,4.4,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.25,75.4,0.6,Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
2.73,89.6,4.0,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.33,84.4,3.6,Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.79,63.8,4.0,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.05,100.0,4.2,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.28,100.0,2.2,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.41,74.6,5.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.92,77.3,3.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
,85.4,3.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.11,86.0,1.9,Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.14,89.9,2.9,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.75,100.0,2.4,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.11,79.9,3.1,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.32,72.4,6.3,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.75,65.4,0.5,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.53,73.2,0.3,Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
4.0,81.6,6.1,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.75,100.0,3.6,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.49,75.8,2.1,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.18,84.7,5.5,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
4.0,81.8,2.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.74,96.3,7.2,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.72,100.0,5.2,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.83,75.6,2.4,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
,76.1,7.2,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.86,94.5,2.8,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.76,90.2,5.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.17,100.0,4.5,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.25,89.0,6.0,,Menengah,Perempuan,Tidak,Tepat Waktu
3.94,77.7,6.2,,Rendah,Perempuan,Tidak,Tepat Waktu
3.53,89.1,3.8,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.84,95.3,,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.7,91.8,4.6,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.32,88.1,2.5,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.51,94.8,7.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
,96.0,4.1,Aktif,Rendah,Perempuan,Ya,Tepat Waktu
,98.6,3.3,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.89,89.8,4.0,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.33,,1.0,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.71,83.8,1.9,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.05,96.5,6.1,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.66,,2.0,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.38,86.4,1.7,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.83,77.3,4.4,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.1,82.3,5.6,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.12,97.3,5.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.9,84.3,5.4,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.38,82.6,2.1,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.62,65.7,0.4,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.04,91.0,6.5,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.15,89.7,3.1,Tidak Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.33,100.0,3.5,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.42,78.3,5.8,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
,84.6,4.6,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.41,85.0,4.4,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.67,100.0,7.9,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
3.25,80.9,2.3,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
,85.3,5.3,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.8,89.3,3.8,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.15,84.2,4.1,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.63,76.6,6.1,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.13,84.3,4.5,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
4.0,94.9,,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.89,69.7,5.0,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.99,83.6,,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.54,73.6,1.7,Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
3.39,96.3,2.0,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.72,63.7,0.0,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.67,75.3,7.0,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.41,86.5,1.6,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.58,100.0,3.6,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.31,81.2,3.0,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.57,75.3,3.9,Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
2.18,100.0,5.5,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.98,64.6,4.5,Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
3.42,55.6,1.7,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.78,87.3,3.4,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
3.13,76.0,3.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.83,69.7,,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tepat Waktu
2.48,90.5,,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.33,84.9,4.5,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.08,75.2,4.6,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.27,66.6,4.2,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.09,92.5,5.9,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.17,89.8,4.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.06,,1.2,Tidak Aktif,Rendah,Perempuan,Ya,Tidak Tepat Waktu
2.51,100.0,4.7,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.4,69.2,1.9,Tidak Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.26,63.7,2.0,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.68,73.7,4.4,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.87,81.5,5.7,Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
2.62,84.9,3.6,Tidak Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.07,79.1,4.0,Tidak Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.53,86.2,6.7,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.66,67.0,3.4,,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
3.33,99.3,8.7,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.86,81.0,4.5,Tidak Aktif,Rendah,Laki-laki,Tidak,Tepat Waktu
2.74,95.4,0.7,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.05,86.1,5.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.63,87.5,4.4,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.85,88.8,6.0,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
2.56,87.4,4.9,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
3.98,89.7,3.5,Aktif,Menengah,Perempuan,Ya,Tepat Waktu
3.12,97.9,1.8,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.79,84.4,3.2,Tidak Aktif,Menengah,Laki-laki,Tidak,Tidak Tepat Waktu
3.2,,2.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.05,80.9,2.5,Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.0,99.3,5.1,,Menengah,Laki-laki,Tidak,Tepat Waktu
3.38,73.9,6.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tepat Waktu
3.44,100.0,4.7,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
2.86,81.5,1.3,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.84,64.8,3.8,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
,83.5,5.7,,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.06,73.8,2.2,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.42,92.1,3.6,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
3.72,74.2,3.3,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
3.84,76.6,1.9,Tidak Aktif,Rendah,Laki-laki,Ya,Tepat Waktu
2.99,59.3,4.0,Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.36,76.6,3.1,Tidak Aktif,Menengah,Laki-laki,Ya,Tidak Tepat Waktu
3.24,52.9,3.4,Aktif,Tinggi,Laki-laki,Tidak,Tidak Tepat Waktu
4.0,63.0,1.3,Tidak Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
3.6,91.1,3.0,Tidak Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
3.04,91.4,5.1,,Menengah,Laki-laki,Tidak,Tepat Waktu
2.67,87.1,3.0,Aktif,Tinggi,Perempuan,Tidak,Tidak Tepat Waktu
2.38,70.4,6.3,Aktif,Menengah,Laki-laki,Tidak,Tepat Waktu
3.19,81.4,2.8,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
2.76,82.0,3.9,Aktif,Rendah,Perempuan,Tidak,Tidak Tepat Waktu
2.46,68.1,4.8,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.81,100.0,1.4,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
2.61,92.5,0.6,Tidak Aktif,Rendah,Laki-laki,Tidak,Tidak Tepat Waktu
3.86,79.3,0.7,Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.5,82.3,5.8,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.1,84.5,,Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.77,57.5,7.4,Tidak Aktif,Tinggi,Perempuan,Tidak,Tepat Waktu
3.13,79.0,2.4,Aktif,Menengah,Perempuan,Tidak,Tidak Tepat Waktu
2.71,73.8,3.6,Tidak Aktif,Menengah,Perempuan,Ya,Tidak Tepat Waktu
3.79,70.0,5.9,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
3.34,78.6,7.0,Tidak Aktif,Menengah,Perempuan,Ya,Tepat Waktu
2.63,100.0,7.7,Tidak Aktif,Rendah,Perempuan,Ya,Tepat Waktu
3.01,89.7,5.9,Aktif,Menengah,Laki-laki,Ya,Tepat Waktu
2.71,75.1,5.1,Tidak Aktif,Menengah,Perempuan,Tidak,Tepat Waktu
2.48,88.9,4.8,Tidak Aktif,Rendah,Laki-laki,Ya,Tidak Tepat Waktu
